situation,thought,reframe,has_distortion,all-or-nothing thinking,comparing and despairing,disqualifying the positive,emotional reasoning,fortune telling,labeling,magnification,mind reading,overgeneralizing,should statements,mental filter,personalization and blaming
A Roomate of mine stole my comptuer,"Someone I trusted stole something valuable of mine, I was extremely angry and wanted justice","My roommate stole something of mine, and I will focus on actionable solutions to address this.",1,0,0,0,1,0,0,0,0,0,0,0,0
A Roomate of mine stole my comptuer,"Someone I trusted stole something valuable of mine, I was extremely angry and wanted justice","While I would like there to be consequences for my roommate's actions, it may not always be possible.",1,0,0,0,1,0,0,0,0,0,0,0,0
"A few days ago, I got angry at my husband's grandmother who lives next door for beeping her horn till I came out of the house and asking me to come to dinner.",She doesn't respect me.,She is older and may have been tired,1,0,0,0,0,0,0,0,0,1,0,0,0
"A few days ago, I got angry at my husband's grandmother who lives next door for beeping her horn till I came out of the house and asking me to come to dinner.",She doesn't respect me.,"I felt disrespected by her actions, but that doesn't mean she has no respect for me.",1,0,0,0,0,0,0,0,0,1,0,0,0
A friend who is a recent widower has started dating.,My friend is ignoring his recently-deceased wife.,"Maybe my friend is in a healthy spot to date now. Maybe they have accepted the loss of their partner, and maybe their new partner helps to address some of their loneliness and sadness.",1,0,0,1,0,0,0,0,0,0,0,0,0
A friend who is a recent widower has started dating.,My friend is ignoring his recently-deceased wife.,"Maybe my friend has mourned the loss of their partner. It doesn't mean they are no longer sad about it or are completely over it, but maybe they have made peace with the situation.",1,0,0,0,0,0,0,0,1,0,0,0,0
A neighbor borrowed my smartphone charger and never returned it.,he took me for granted!,I know my neighbor is busy with his job and family. He probably just forgot to return it to me. I should stop by and ask for it back.,1,0,0,0,0,0,1,1,0,0,0,0,0
A neighbor borrowed my smartphone charger and never returned it.,he took me for granted!,He forgot to bring me back my charger but I doubt it was done maliciously. It probably just slipped his mind.,1,0,0,0,0,0,0,0,0,0,0,0,1
"A new policy at work was established and required cooperation of efforts from another department in order to meet the new requirements. I took initiative and set meetings to talk about the new roles. After the meeting a verbal agreements were made I drafted a memorandum of agreement outlining the verbal agreements. A day later, the other department refused to participate because they did not want to do any extra work.",We will not be able to complete the work that needs to be done,i can figure this out,1,0,0,0,0,0,0,1,0,0,0,0,0
"A new policy at work was established and required cooperation of efforts from another department in order to meet the new requirements. I took initiative and set meetings to talk about the new roles. After the meeting a verbal agreements were made I drafted a memorandum of agreement outlining the verbal agreements. A day later, the other department refused to participate because they did not want to do any extra work.",We will not be able to complete the work that needs to be done,i can problem solve and figure out a way to make this work.,1,0,0,0,0,0,0,1,0,0,0,0,0
A potential client decided to work with another company,I failed our company & myself,Did I? I am merely a small part of this company and shouldn't take the sole responsibility for its successes and failures,1,0,0,0,0,0,0,0,0,0,0,0,1
A potential client decided to work with another company,I failed our company & myself,I'm a small part of this company and shouldn't take the sole responsibility for its successes and failures,1,0,0,0,0,0,0,0,0,0,0,0,1
A student let me know they are struggling to grasp any of the concepts in class.,Am I not explaining the material well?,One student struggling does not negate my efforts and triumphs as a teacher. I am doing the best I can.,1,1,0,0,0,0,0,0,0,0,0,0,1
A student let me know they are struggling to grasp any of the concepts in class.,Am I not explaining the material well?,There could be a lot of factors contributing to why this student is struggling. I should ask the student about how I can support them and the parts they are struggling with.,1,0,0,0,0,0,0,0,0,0,0,0,1
A week ago me and my GF were trying to find a store in a nearby town but we got lost.,We won't be able to find the store before it closes.,I am feeling anxious and overwhelmed. Let me take a moment to refocus so we can work together to find the right way to go to get to the store on time.,1,1,0,0,1,1,0,1,0,0,0,0,0
A week ago me and my GF were trying to find a store in a nearby town but we got lost.,We won't be able to find the store before it closes.,It is possible the store may close but being lost is not purposeful. If the store closes before we can get there we can just figure out another option to get what we need to get through the night.,1,1,0,0,1,1,0,1,0,0,0,0,0
"After I complained about not spending time together, my boyfriend did not want to go on a date last weekend.",He doesn't love me.,He has been open to meeting my needs in the past so this one situation does not define his love for me.,1,0,0,0,0,0,0,0,0,1,0,0,0
"After I complained about not spending time together, my boyfriend did not want to go on a date last weekend.",He doesn't love me.,I am worthy of voicing my needs and my lovability does not change because I have done so,1,0,0,0,0,0,0,0,0,0,0,0,1
All of my relationship attempts have ended in failure,Suicidal thoughts,"Even very attractive people sometimes have a hard time finding love. Dating is hard, and I don't need to beat myself up.",1,0,0,0,1,0,0,0,0,0,0,0,0
All of my relationship attempts have ended in failure,Suicidal thoughts,"I may not always like the way I look, but I can still find someone who thinks I'm beautiful.",1,0,0,0,0,1,0,0,0,0,0,0,0
An mturk requester rejected my task and I wasn't sure why because I work very hard on my tasks. Being new it affected my approval rating more negatively.,I'm not smart enough to succeed at mturk,I am learning still and can improve. Just because this one task did not go as well as I would like does not mean I cannot improve and do better in the future.,1,1,0,0,0,1,1,0,0,1,0,0,1
An mturk requester rejected my task and I wasn't sure why because I work very hard on my tasks. Being new it affected my approval rating more negatively.,I'm not smart enough to succeed at mturk,It seems like there was some miscommunication. It doesn't mean that I do not have the skills to do well with mturk. I should reach out to see if I can get more clarity on why my task was rejected.,1,1,0,0,0,1,1,0,0,1,0,0,1
At work I was frustrated after a meeting because I was told a certain amount of documents had to be indexed that week. I had a lot of other tasks and I started frantically naming them off. I was not expected to be indexing the full collection of documents like I thought I was so I was later embarassed I had acted so frustrated and snappy.,I thought I was being taken advantage of.,My frustration is valid. The expectations at work changed and it felt upsetting. I might need to seek support to finish this project.,1,0,0,0,1,0,1,0,0,0,0,0,0
At work I was frustrated after a meeting because I was told a certain amount of documents had to be indexed that week. I had a lot of other tasks and I started frantically naming them off. I was not expected to be indexing the full collection of documents like I thought I was so I was later embarassed I had acted so frustrated and snappy.,I thought I was being taken advantage of.,"I'm not perfect, and I'm doing the best that I can at work with the resources available.",1,0,0,0,1,0,1,0,1,0,0,0,1
Being transgender,I'm not who I want to be. I hate my appearance and my voice.,Many people are transgender and it's just a label.  The sound of my voice and my appearance will eventually change to the appropriate gender.,1,0,0,0,0,0,1,0,0,0,0,0,0
Being transgender,I'm not who I want to be. I hate my appearance and my voice.,Although I do not like the sound of my voice or the way I look right now they do not define who I am.  I have many other positive attributes.  I will learn to focus on the positive.,1,0,0,1,0,0,0,0,0,0,0,0,0
Breakup after loving truly.,I am scared of my future life and being in sorrow of breakup and didn't feel light of overthinking,Being afraid of the future is understandable considering the depths of my emotions and my sorrow.  I could be responding on a strictly emotional level rather than a rational reasoning level.,1,0,0,0,1,0,0,0,0,0,0,0,0
Breakup after loving truly.,I am scared of my future life and being in sorrow of breakup and didn't feel light of overthinking,It's not unusual for someone to over think a situation when experiencing strong emotions.  I will refrain from judgment about  my future until more time has passed.,1,0,0,0,1,0,0,0,0,0,0,0,0
Dealing with PTSD,"If I don't sleep well one night due to panic attack, then I it will only get worse",If I have a night of panic attacks and not sleeping wellit will only get worse,1,0,0,0,0,1,0,0,0,0,0,0,0
Dealing with PTSD,"If I don't sleep well one night due to panic attack, then I it will only get worse",I have PTSD it’s difficult to deal with,0,0,0,0,0,0,0,0,0,0,0,0,0
Don't have a job,I'm a failure,I now have time to get caught up on household tasks I did not have time to do while working.  I also have time to devote to my arts and crafts which really helps to boost my self-esteem.,1,0,0,1,0,0,0,0,0,0,0,0,0
"Every time I think I have another chance at love, I am reminded how insufferable and unlovable I make myself.",I am a hard person to love,I don't need to be so hard on myself. Relationships take work.,1,0,0,0,0,0,1,0,0,0,0,0,0
"Every time I think I have another chance at love, I am reminded how insufferable and unlovable I make myself.",I am a hard person to love,I have been in relationships before where I have been loved and it didn't seem like I was hard to love then.,1,0,0,0,0,0,1,0,0,0,0,0,0
First interview after studying and getting my diploma.,I'll screw it over,There is no way of knowing exactly how the interview will go at this time.,1,0,0,0,0,1,0,0,0,0,0,0,0
First interview after studying and getting my diploma.,I'll screw it over,I will prepare for the interview the best that I can.,1,0,0,0,0,1,0,1,0,0,0,0,0
For many years I've been tutoring students online in math and reading. One of my newer students requested to my supervisor that she be assigned to a different tutor because she didn't like me.,"I was searching my brain to figure out why she didn't like me, and it made me so sad to think I'd hurt her feelings or caused a problem for her.","I might not have hurt her feelings or caused a problem for her, we just might not have been a good fit.",1,0,0,0,0,0,0,0,0,0,0,0,1
Having problems coming up with words to write essay.,I will get a bad grade.,"I'm feeling anxious about this assignment. I can use skills to calm myself, try my best on the essay, ask for any appropriate help, and whatever grade I get I will know that I tried my hardest.",1,1,0,0,0,1,0,1,0,0,0,0,0
Having problems coming up with words to write essay.,I will get a bad grade.,I'm having trouble writing this essay but will do my best.,1,0,0,0,0,1,0,1,0,0,0,0,0
"I actually cannot help it on my own. No matter how hard I try, looking at the bright side of things, logically trying to reason things out, giving myself the benefit of the doubt.. Everything is driving me up the wall. Anger, frustration, sadness, you name it. It's like everything I was able to blow off before is just hitting straight at me and it's relentless.",Everything driving me nuts...,My emotions are valid but I am in control of them.,1,0,0,0,0,0,0,0,0,0,0,0,1
"I actually cannot help it on my own. No matter how hard I try, looking at the bright side of things, logically trying to reason things out, giving myself the benefit of the doubt.. Everything is driving me up the wall. Anger, frustration, sadness, you name it. It's like everything I was able to blow off before is just hitting straight at me and it's relentless.",Everything driving me nuts...,I'm really emotional about a lot of things right now. I wonder if it truly is EVERYTHING that's driving me nuts or if it's 1 or 2 big things that are causing me to blow up at everything.,0,0,0,0,0,0,0,0,0,0,0,0,0
"I always do the wrong thing, I always make mistakes",I hate myself,I have made some good decisions with positive results in the past and will do so again.  This situation is not indicative of my overall worth.,1,1,0,0,0,0,0,0,0,0,0,0,0
"I always do the wrong thing, I always make mistakes",I hate myself,"I have been under a lot of stress and taken on more than I can handle.  This is impairing my ability to make good decisions.  I may feel negative about myself right now, but I can get this under control of my responsibilities and ask for help.",1,0,0,0,0,0,1,0,0,0,0,0,0
"I am at a party where I do not know very many people. When I try to talk to a stranger, he gives one word replies and then ignores me. .",I am being annoying.,I'm noticing that I feel socially anxious based on this person's response. They could be responding like this for many reasons. I can calm myself and try to have a conversation with someone else.,1,0,0,0,1,0,0,0,0,0,0,0,0
"I am at a party where I do not know very many people. When I try to talk to a stranger, he gives one word replies and then ignores me. .",I am being annoying.,I'm not having a connection with the person at this party.,1,0,0,0,1,0,0,0,1,0,0,0,0
"I am quite fond of a coworker and decide to talk to them. I offer up the idea that it might be fun to go out together sometime, and they respond with the fact they are too busy.",I'm not attractive or have a good enough personality.,Wow. If this person is so busy that they don't have time to go out I really feel bad for them.,1,0,0,0,0,0,0,0,0,0,0,0,1
I am single and isolated,im unlovable,Just because I’m still single doesn’t make me not lovable,1,0,0,0,0,0,1,0,0,0,0,0,0
I am trying to diet but I gained weight this week.,I don't have the discipline to diet.,I am having difficulty losing weight but I can stay dedicated to the process.,1,1,0,0,0,0,0,0,0,0,0,0,0
I am trying to diet but I gained weight this week.,I don't have the discipline to diet.,I am determined to reach this goal and will find ways to develop the willpower to do so.,1,0,0,1,0,0,0,0,0,0,0,0,0
I am trying to help my son pay his bills and find a job.,He does not appreciate anything I do for him.,"I can't anticipate all of my son's needs, and he needs to ask for help when he needs it.",1,1,0,0,0,0,0,0,0,1,0,0,1
I am trying to help my son pay his bills and find a job.,He does not appreciate anything I do for him.,I can't assume what my son needs or wants. I want to ask him how I can be supportive of his needs.,1,1,0,0,0,0,0,0,0,1,0,0,1
I am trying to write up an essay and can't think of anything,I'm wasting all my time,Each minute of thinking is bringing me closer to what I want to write. Don't think this is a waste of time as such,1,1,0,0,0,0,0,0,0,0,0,0,0
I am trying to write up an essay and can't think of anything,I'm wasting all my time,I may have wasted time. But now I know which directions do not work and which ones I should prioritize,1,1,0,0,0,0,0,0,0,0,0,0,0
I am unable to give my children any time,A good mother spends time with her kids on some activity every night,"A good mother regularly spends time with her kids. I'm not the best mother, but not bad either",1,0,0,0,0,0,0,0,0,1,0,0,0
I am unable to give my children any time,A good mother spends time with her kids on some activity every night,"I spend some time when I can and want to, but it isn't feasible always",1,0,0,0,0,0,0,0,0,1,0,0,0
I am under appreciated at work,Self worth,I may not always get a raise or promotion every year but it does not mean I’m worthless and under appreciated It May be because of external reasons outside the company’s control,1,0,1,0,0,0,0,0,0,0,0,0,0
I am under appreciated at work,Self worth,Just because work folks are working hard and are quietly working doesn’t mean they don’t realize my team player role and appreciate my part in the team effort,0,0,0,0,0,0,0,0,0,0,0,0,0
I am walking down the street in a new red jeans and a stranger looked at the jeans,I should have never worn these jeans and stick to blue ones,These jeans look great and I can wear them whenever I want,1,0,0,0,0,0,0,0,0,0,1,0,0
I am walking down the street in a new red jeans and a stranger looked at the jeans,I should have never worn these jeans and stick to blue ones,What I wear is completely up to me. I should not pressurize myself about what I ought to have done,1,0,0,0,0,0,0,0,0,0,1,0,0
I applied for a job and just got a call saying I didn't get the job.,I am not good enough for anyone.,Being rejected is hard but I'm proud of myself for taking the steps and will try again.,1,1,0,0,0,0,1,0,0,0,0,0,0
I applied for a job and just got a call saying I didn't get the job.,I am not good enough for anyone.,I feel hurt and sad that I didn't get the job but there could be many reasons I didn't get it and I will work to find the right fit for me.,1,0,0,0,0,0,1,0,0,1,0,0,0
I applied for a new part-time position and took the qualifying exam but didn't pass because they  changed some of the guidelines for the job. They warned us beforehand that this may happen in the hiring process.,I thought that I should have studied harder. If I knew enough information I would pass no matter how the standards changed. It was my fault I didn't try hard enough and was furious with myself,"I prepared for this exam, but the material wasn't known to me. I may not have been able to prepare better than I had.",1,0,0,0,0,0,0,0,0,0,1,0,1
I applied for a new part-time position and took the qualifying exam but didn't pass because they  changed some of the guidelines for the job. They warned us beforehand that this may happen in the hiring process.,I thought that I should have studied harder. If I knew enough information I would pass no matter how the standards changed. It was my fault I didn't try hard enough and was furious with myself,"I didn't know what would be on the exam, and it wasn't clear how I should have prepared better.",1,0,0,0,0,0,0,0,0,0,1,0,1
"I applied for a promotion but was told I haven't shown the necessary ambition yet. This happened at work where I always go the extra mile, stay late, and even work when I'm not being paid. I feel like the response to my request for a promotion was inaccurate and that I am being taken advantage of because nothing I could do is enough. I was denied the promotion by the department head who is a woman that seems to always talk down to and be rude to men at the company.","I felt as if my talents and efforts were being unrecognized by the company yet they are perfectly happy to accept all of my hard work, just not pay me what I deserve for it.",I should acknowledge how hard I am working. My hard work and determination will help me get a promotion in the future. I just need to be patient.,1,0,0,1,0,0,0,0,0,0,0,0,0
"I applied for a promotion but was told I haven't shown the necessary ambition yet. This happened at work where I always go the extra mile, stay late, and even work when I'm not being paid. I feel like the response to my request for a promotion was inaccurate and that I am being taken advantage of because nothing I could do is enough. I was denied the promotion by the department head who is a woman that seems to always talk down to and be rude to men at the company.","I felt as if my talents and efforts were being unrecognized by the company yet they are perfectly happy to accept all of my hard work, just not pay me what I deserve for it.","Maybe there was a different candidate who deserved the promotion more than I did. I should ask the company for some feedback. Maybe it is not so personal, maybe there was just somebody who deserved it more.",1,0,0,0,0,0,0,0,0,0,0,0,1
I ask out a co-worker who I became fond of recently but was turned down.,I won't find someone I can be with,"It hurt to be rejected and I feel lonely not having found my person yet, but I will stay open minded and put myself out there and do my best to find a good fit for me.",1,1,0,0,0,0,0,1,0,0,0,0,0
I ask out a co-worker who I became fond of recently but was turned down.,I won't find someone I can be with,I'm sad I don't get to be with that person but I will eventually find the right match.,1,1,0,0,1,1,0,1,0,0,0,0,0
"I asked my daughter a question, and she responded in a snotty way.",She doesn't love me like she used to.,Kids say snappy things to their parents all the time. It doesn't mean I'm a bad parent or that she doesn't love me.,1,0,0,0,0,0,1,0,0,0,0,0,1
"I asked my daughter a question, and she responded in a snotty way.",She doesn't love me like she used to.,My daughter may have not liked the question I asked or is going through something emotionally. I should ask if she wants to talk about what's going on with her.,1,0,0,0,0,0,1,0,0,0,0,0,1
"I asked my husband to get me wine on the way home from work, but he forgot.",He is selfish,"My husband probably had a busy day at work and that is why he forgot. I should have reminded him, but that's OK, I can just get the wine tomorrow.",1,0,0,0,0,0,1,0,0,0,0,0,0
"I asked my husband to get me wine on the way home from work, but he forgot.",He is selfish,My husband would usually remember these things. Maybe he had a bad or a busy day. I should ask him how his day was before I jump to  conclusions.,1,0,0,0,0,0,1,0,0,0,0,0,0
I became very stressed out after getting a bad score on a quiz,My grades are important and I did poorly,This is just one test that contributes to my overall grade.,1,0,0,1,0,0,0,0,0,0,0,0,0
I became very stressed out after getting a bad score on a quiz,My grades are important and I did poorly,I will calm down before the next test.,1,0,0,1,0,0,0,0,0,0,0,0,0
I burnt the potatoes while cooking,I should have been perfect,I am putting unnecessary pressure on myself. It is not possible for things to be perfect and having unrealistic standards will only make me feel bad about myself,1,0,0,0,0,0,0,0,0,0,1,0,0
I burnt the potatoes while cooking,I should have been perfect,"I could have been perfect, but rest of the food is still great anyways",1,0,0,0,0,0,0,0,0,0,1,0,0
